广告活动,否定词,匹配类型
自动-主,mildew resistant mat anti slip,negativeExact
自动-主,non slip travel strong mat,negativeExact
广泛大词,skid free bathtub mat anti slip,negativeExact
广泛大词,mirabel bathtub mat anti slip,negativeExact
自动-主,mildew resistant trusted mat non slip,negativeExact
自动-主,nonslip bathtub,negativeExact
广泛大词,bathtub mat non slip machine washable,negativeExact
自动-主,non slip rugs,negativeExact
自动-主,kovera mat,negativeExact
自动-主,non slip mildew resistant mat,negativeExact
自动-主,shower curtain,negativePhrase
自动-主,bath towels non slip,negativeExact
自动-主,pellura shower runners,negativeExact
自动-主,mildew resistant runners,negativeExact
广泛大词,dremo non slip,negativeExact
自动-主,shower curtain mat non slip,negativeExact
广泛大词,kovera all day comfort runner rugs,negativeExact
